"HumanGene","GammadeltaTcells_Daudi_Gammadelta_posscore","GammadeltaTcells_Daudi_Gammadelta_posrank","GammadeltaTcells_Daudi_Gammadelta_negscore","GammadeltaTcells_Daudi_Gammadelta_negrank"
"ENTPD7",0.12108,4685,0.58171,8340
"ENTPD8",0.036548,2417,0.40041,6381
"ENY2",0.99982,17052,0.00017603,1147
"EOGT",0.089759,3911,0.77941,11205
"EOMES",0.075944,3557,0.90259,14437
"EP300",0.97332,15647,0.033725,2789
"EP400",0.99997,17395,3.0838e-05,731
"EPAS1",0.23219,6881,0.47262,7417
"EPB41",0.90416,14437,0.88055,13772
"EPB41L1",0.14806,5397,0.9698,16649
"EPB41L2",0.094272,4028,0.51665,7811
"EPB41L3",0.3667,8687,0.81381,11936
"EPB41L4A",0.45999,10007,0.46106,7251
"EPB41L4B",0.5335,10757,0.8122,11898
"EPB41L5",0.88049,14064,0.44959,7105
"EPB42",0.13594,5071,0.6274,8826
"EPC1",0.97341,15649,0.46269,7279
"EPC2",0.99864,16628,0.0013608,1723
"EPCAM",0.08708,3836,0.27673,4897
"EPDR1",0.91327,14574,0.2747,4881
"EPG5",0.83419,13355,0.22187,4504
"EPGN",0.86979,13899,0.70793,9926
"EPHA1",0.010727,979,0.72431,10201
"EPHA10",0.80594,13013,0.12428,3660
"EPHA2",0.15837,5632,0.94377,15746
"EPHA3",0.042962,2620,0.52343,7865
"EPHA4",0.0060579,681,0.99609,17715
"EPHA5",0.037495,2454,0.88493,13893
"EPHA6",0.20574,6540,0.95481,16120
"EPHA7",0.0068569,732,0.91049,14652
"EPHA8",0.85397,13640,0.43635,6895
"EPHB1",0.5616,10921,0.76367,10910
"EPHB2",0.17155,5944,0.90022,14374
"EPHB3",0.12835,4878,0.99102,17482
"EPHB4",0.80053,12949,0.81945,12076
"EPHB6",0.49541,10513,0.16152,4120
"EPHX1",0.85609,13676,0.62331,8777
"EPHX2",0.0058044,663,0.96494,16463
"EPHX3",0.51178,10634,0.8314,12411
"EPHX4",0.89011,14207,0.40322,6425
"EPM2A",0.32332,8053,0.8938,14172
